"STATION","NAME","DATE","AWND","CLDD","HTDD","PRCP","TAVG","TSUN"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2006-05","3.6","9.5","19.6","15.3","18.0",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2006-06","3.7","69.9","0.0","0.3","20.7",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2006-07","3.6","159.3","0.0","2.5","23.5",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2006-08","3.6","99.5","0.0","0.3","21.5",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2006-09","3.2","63.6","0.0","0.0","20.4",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2006-10","3.1","28.3","13.6","0.0","18.8",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2006-11","2.4","27.5","51.7","6.4","17.5",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2006-12","2.6","0.6","133.3","15.5","14.1",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2007-01","2.5","3.0","184.2","9.9","12.5",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2007-02","3.4","5.9","122.7","20.9","14.2",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2007-03","3.2","8.1","94.6","2.3","15.5",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2007-04","3.3","0.0","82.3","9.1","15.6",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2007-05","3.6","14.5","64.8","0.0","16.7",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2007-06","3.0","13.1","16.9","0.0","18.2",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2007-07","3.1","84.1","0.0","0.3","21.1",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2007-08","3.2","109.0","0.0","0.0","21.9",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2007-09","3.2","57.9","2.8","12.5","20.2",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2007-10","2.8","47.7","26.1","16.3","19.0",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2007-11","2.4","13.7","72.2","12.7","16.4",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2007-12","2.8","0.0","158.0","40.4","13.2",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2008-01","3.2","0.8","158.0","118.5","13.3",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2008-02","3.0","2.0","134.7","55.2","13.8",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2008-03","3.2","6.7","91.5","0.8","15.6",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2008-04","3.4","40.9","79.6","0.8","17.1",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2008-05","3.5","26.1","42.0","2.8","17.8",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2008-06","3.3","62.0","5.2","0.0","20.2",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2008-07","3.3","83.0","0.0","0.0","21.0",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2008-08","3.3","85.9","0.0","0.0","21.1",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2008-09","3.1","60.2","0.0","0.0","20.3",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2008-10","2.6","79.6","12.8","0.0","20.5",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2008-11","2.4","29.6","45.5","38.1","17.8",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2008-12","2.6","0.0","174.7","63.8","12.7",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2009-01","2.0","16.5","101.2","13.0","15.6",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2009-02","2.9","1.8","138.1","86.6","13.5",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2009-03","3.2","0.3","125.5","1.3","14.3",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2009-04","3.7","17.8","98.4","0.0","15.6",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2009-05","3.4","5.1","24.8","0.0","17.7",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2009-06","3.5","7.6","7.9","3.8","18.3",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2009-07","3.4","60.5","2.2","0.0","20.2",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2009-08","3.3","67.2","1.5","0.0","20.4",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2009-09","2.8","82.5","0.0","0.0","21.1",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2009-10","3.0","30.7","30.3","33.0","18.3",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2009-11","2.3","4.5","62.5","0.0","16.4",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2009-12","2.6","0.0","151.3","52.0","13.4",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-01","2.7","1.4","114.7","109.3","14.7",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-02","3.1","1.7","118.4","82.0","14.2",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-03","3.5","9.2","98.7","5.4","15.4",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-04","4.1","1.4","110.0","31.7","14.7",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-05","3.7","1.1","70.7","2.1","16.1",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-06","3.1","3.7","10.1","0.0","18.1",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-07","3.4","23.3","10.8","0.0","18.7",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-08","3.3","25.6","11.6","0.0","18.8",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-09","3.0","48.4","17.8","0.0","19.4",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-10","2.9","27.6","17.7","39.5","18.6",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-11","2.9","32.0","91.6","15.1","16.4",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-12","2.6","5.8","123.6","224.2","14.5",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2011-01","2.2","3.4","103.6","20.6","15.1",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2011-02","2.9","0.3","151.0","37.4","12.9",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2011-03","3.3","4.1","125.7","102.6","14.4",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2011-04","3.7","9.5","63.5","0.0","16.5",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2011-05","3.9","16.1","60.7","13.5","16.9",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2011-06","3.4","6.2","26.7","0.5","17.6",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2011-07","3.6","57.9","0.8","0.0","20.2",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2011-08","3.1","45.5","0.3","0.0","19.8",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2011-09","3.1","36.4","4.2","0.3","19.4",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2011-10","2.7","24.1","33.2","16.0","18.0",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2011-11","2.5","4.5","102.2","43.0","15.1",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2011-12","2.0","0.0","172.2","17.0","12.8",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2012-01","2.2","5.3","102.1","30.2","15.2",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2012-02","2.9","0.0","127.8","3.1","13.9",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2012-03","3.4","4.0","139.3","45.3","14.0",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2012-04","3.5","3.3","91.7","38.3","15.4",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2012-05","3.4","2.8","36.5","0.3","17.3",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2012-06","3.4","8.7","3.6","0.0","18.5",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2012-07","3.3","31.5","3.3","0.0","19.2",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2012-08","3.2","124.7","0.0","0.0","22.4",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2012-09","2.9","120.5","0.0","0.0","22.4",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2012-10","2.9","76.1","7.2","3.9","20.6",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2012-11","2.8","13.4","52.1","33.4","17.0",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2012-12","2.7","0.0","145.6","71.7","13.6",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-01","2.5","2.5","149.2","33.0","13.6",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-02","2.9","1.1","139.4","5.1","13.4",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-03","2.9","3.9","104.1","16.8","15.1",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-04","3.7","1.7","49.4","1.5","16.7",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-05","3.5","31.3","5.0","10.0","19.2",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-06","3.3","49.2","0.6","0.0","20.0",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-07","3.3","68.1","0.0","0.8","20.5",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-08","3.2","63.3","1.1","0.0","20.3",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-09","3.1","85.8","0.0","0.0","21.2",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-10","2.8","37.6","25.1","0.5","18.7",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-11","2.5","20.8","36.1","17.5","17.8",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-12","2.2","7.5","110.8","7.6","15.0",
